DateTime,temp_c_ple,humidity_ple,pressure_ple,pm1_0a,pm2_5a,pm10_0a,pm1_0b,pm2_5b,pm10_0b,temp_c_keg,humidity_keg,pressure_keg,pm1_0k,pm2_5k,pm10_0k
2024-05-29 18:24:00,36.11,44.0,982.38,32.35,49.56,51.56,30.79,46.58,47.4,33.47,53.46,98269.76,34.56,52.14,54.25
2024-05-29 18:26:00,36.11,45.0,982.42,30.5,46.52,48.27,28.75,43.04,44.07,33.41,53.43,98271.84,29.94,43.76,44.91
2024-05-29 18:28:00,36.11,44.0,982.46,32.22,47.35,49.13,28.54,43.49,44.19,33.35,53.72,98274.4,30.78,46.0,47.71
2024-05-29 18:30:00,36.11,45.0,982.46,30.93,46.04,48.93,28.93,41.23,42.38,33.3,53.63,98276.09,31.8,45.31,46.55
2024-05-29 18:32:00,36.11,45.0,982.42,29.14,42.56,44.63,27.21,40.53,40.79,33.26,53.92,98275.39,31.22,44.9,46.19
2024-05-29 18:34:00,36.11,45.0,982.39,30.02,44.68,46.64,28.02,40.93,41.17,33.25,54.29,98271.46,30.9,45.12,46.35
2024-05-29 18:36:00,35.0,45.0,980.97,30.05,44.93,46.45,27.95,41.42,42.49,33.25,54.32,98270.55,31.84,45.35,46.22
2024-05-29 18:38:00,36.11,46.0,982.43,32.65,47.22,49.59,29.7,42.27,42.75,33.23,54.74,98272.48,30.7,45.96,47.64
2024-05-29 18:40:00,36.11,46.0,982.42,32.0,47.36,49.79,31.14,45.77,46.49,33.24,55.45,98273.0,34.3,48.84,50.01
2024-05-29 18:42:00,35.56,46.0,982.41,33.38,48.36,50.82,30.7,45.61,46.46,33.24,55.5,98271.11,32.41,45.96,47.8
2024-05-29 18:44:00,35.56,46.0,982.41,31.36,47.31,50.28,29.64,43.93,44.82,33.21,55.36,98269.96,33.06,47.02,49.44
2024-05-29 18:46:00,35.56,46.0,982.37,32.35,47.07,49.33,29.9,43.33,43.72,33.18,55.64,98266.0,32.99,47.2,48.95
2024-05-29 18:48:00,34.44,47.0,980.07,29.91,43.78,46.22,30.02,42.23,42.77,33.15,55.9,98263.71,32.94,46.49,48.45
2024-05-29 18:50:00,35.56,47.0,982.34,32.19,46.33,49.03,30.11,43.24,43.83,33.14,56.42,98263.19,32.94,48.15,49.45
2024-05-29 18:52:00,35.56,46.0,982.35,33.37,49.96,52.53,32.55,47.36,48.3,33.1,56.32,98262.86,34.41,49.8,51.39
2024-05-29 18:54:00,35.56,46.0,982.33,33.89,50.64,53.7,31.79,46.4,47.33,33.04,55.09,98261.97,35.58,51.41,53.28
2024-05-29 18:56:00,35.56,45.0,982.36,31.98,47.37,48.88,29.33,43.24,44.42,32.91,54.05,98264.56,33.36,46.98,48.56
2024-05-29 18:58:00,35.56,44.0,982.45,33.0,47.04,50.54,31.35,44.91,45.49,32.82,52.55,98268.86,33.46,47.14,48.65
2024-05-29 19:00:00,35.56,44.0,982.47,30.68,44.27,46.86,29.45,44.07,44.77,32.64,51.63,98270.45,31.95,45.54,47.58
2024-05-29 19:02:00,35.0,43.0,982.43,31.84,46.29,48.95,29.84,43.23,44.04,32.48,50.45,98271.58,32.86,47.02,48.7
2024-05-29 19:04:00,35.0,42.0,982.45,30.37,45.37,47.35,28.04,42.09,43.11,32.37,49.95,98269.54,32.55,47.24,48.71
2024-05-29 19:06:00,35.0,43.0,982.43,33.31,50.34,51.66,30.55,45.04,45.18,32.25,48.54,98267.02,33.78,48.08,48.79
2024-05-29 19:08:00,35.0,43.0,982.41,37.2,53.88,56.0,33.02,48.98,49.2,32.14,49.02,98266.46,37.7,53.22,54.9
2024-05-29 19:10:00,35.0,42.0,982.42,39.5,57.18,60.05,34.43,49.29,50.16,32.07,49.33,98265.14,40.56,56.74,57.81
2024-05-29 19:12:00,35.0,44.5,982.47,37.76,55.1,57.84,34.44,50.4,51.54,31.99,48.08,98267.0,39.19,56.25,58.34
2024-05-29 19:14:00,35.0,45.0,982.55,37.03,55.07,57.08,33.54,48.23,49.13,31.95,49.14,98272.16,38.12,54.8,56.69
2024-05-29 19:16:00,35.0,45.0,982.51,35.7,52.28,54.58,33.47,47.31,47.55,31.95,51.56,98278.63,37.72,53.89,55.84
2024-05-29 19:18:00,35.0,45.0,982.55,35.57,51.79,53.75,32.72,47.52,48.1,31.95,51.39,98281.94,36.71,53.51,55.76
2024-05-29 19:20:00,35.0,45.0,982.55,34.43,50.66,52.55,32.04,46.46,47.11,31.99,53.36,98283.36,37.24,53.96,55.55
2024-05-29 19:22:00,35.0,47.0,982.6,34.92,51.47,53.98,31.11,45.78,46.11,32.04,53.65,98282.93,35.71,50.94,52.49
2024-05-29 19:24:00,35.0,46.0,982.65,34.05,50.56,52.25,31.81,47.25,47.53,32.1,54.25,98286.19,34.42,48.95,51.11
2024-05-29 19:26:00,35.0,46.0,982.69,32.21,48.77,52.41,30.3,44.05,44.63,32.1,54.6,98288.78,34.66,50.18,51.65
2024-05-29 19:28:00,35.0,46.0,982.7,32.7,48.64,51.77,30.26,45.93,47.23,32.12,54.7,98293.56,35.1,50.24,51.66
2024-05-29 19:30:00,35.0,46.0,982.75,31.74,47.33,48.89,29.79,43.6,44.62,32.17,54.67,98297.44,33.34,48.51,50.19
2024-05-29 19:32:00,35.0,46.0,982.81,31.33,46.86,50.19,29.97,44.69,45.46,32.19,55.75,98299.36,34.31,49.25,50.02
2024-05-29 19:34:00,35.0,47.0,982.8,31.91,47.0,48.82,30.5,44.15,44.67,32.21,54.9,98302.02,32.24,45.65,47.49
2024-05-29 19:36:00,35.0,48.0,982.77,32.42,47.84,50.09,29.75,44.68,45.51,32.23,54.93,98305.9,33.8,46.66,48.22
2024-05-29 19:38:00,35.0,48.0,982.79,31.65,47.76,50.07,30.0,43.88,44.97,32.21,55.61,98305.63,33.15,48.02,49.99
2024-05-29 19:40:00,35.0,48.0,982.78,32.96,46.47,48.79,30.89,44.61,45.45,32.22,56.07,98304.92,32.05,47.49,48.99
2024-05-29 19:42:00,35.0,48.0,982.78,33.96,49.7,51.49,30.89,43.38,44.12,32.24,56.34,98306.3,32.92,47.06,48.34
2024-05-29 19:44:00,35.0,48.0,982.83,34.39,51.39,54.29,31.82,47.04,48.34,32.26,56.55,98308.01,34.77,50.13,51.97
2024-05-29 19:46:00,35.0,49.0,982.83,34.33,52.21,53.67,31.91,47.17,48.22,32.29,57.39,98308.13,34.4,49.83,50.96
2024-05-29 19:48:00,35.0,48.0,982.82,33.42,48.82,51.09,31.92,48.08,48.66,32.3,57.77,98309.17,35.12,51.59,53.2
2024-05-29 19:50:00,35.0,49.0,982.85,35.81,51.91,55.67,33.43,49.35,50.07,32.3,57.88,98309.67,34.65,50.21,51.7
2024-05-29 19:52:00,35.0,49.0,982.85,36.91,56.11,58.04,35.9,54.05,54.83,32.3,57.89,98311.36,36.35,53.44,55.26
2024-05-29 19:54:00,35.0,49.0,982.94,39.16,59.48,62.32,35.71,53.88,54.95,32.33,58.21,98313.2,37.16,52.69,53.98
2024-05-29 19:56:00,35.0,49.0,983.03,38.62,58.0,60.09,37.05,55.49,56.46,32.36,58.58,98317.98,39.78,59.64,62.19
2024-05-30 10:56:00,34.44,52.0,983.43,15.44,23.44,24.07,14.53,21.56,21.73,33.44,58.08,98351.66,14.61,21.65,22.89
2024-05-30 10:58:00,34.44,52.0,983.43,16.04,25.77,27.02,14.64,21.66,22.22,33.59,58.03,98344.6,15.25,22.41,24.02
2024-05-30 11:00:00,34.44,51.0,982.61,15.89,24.7,25.96,15.09,21.6,21.93,33.8,57.96,98340.01,15.56,23.61,24.46
2024-05-30 11:02:00,35.0,50.0,983.31,15.54,24.28,24.95,14.12,19.26,19.47,34.01,57.01,98338.35,14.42,21.25,22.12
2024-05-30 11:04:00,35.0,50.0,983.35,14.48,21.81,23.28,14.5,20.41,20.71,34.2,56.52,98339.17,13.63,19.32,19.63
2024-05-30 11:06:00,35.0,49.0,983.39,14.35,22.82,23.47,14.39,20.95,21.45,34.33,55.88,98340.75,13.07,19.09,19.64
2024-05-30 11:08:00,35.56,49.0,983.39,13.96,21.75,23.35,14.77,20.61,20.71,34.39,55.41,98344.73,15.14,21.22,21.86
2024-05-30 11:10:00,35.56,49.0,983.39,15.46,22.61,23.09,14.05,19.81,19.81,34.45,55.38,98345.37,15.08,21.76,21.9
2024-05-30 11:12:00,35.83,48.5,983.38,15.28,23.04,24.3,13.71,20.18,20.49,34.53,55.47,98343.57,16.13,22.51,23.23
2024-05-30 11:14:00,36.11,47.0,983.41,14.6,23.15,24.65,13.84,20.38,20.58,34.59,55.07,98344.61,14.72,21.22,21.67
2024-05-30 11:16:00,35.56,48.0,983.4,15.38,23.04,24.11,14.79,21.12,21.62,34.69,55.18,98347.93,14.54,20.66,21.22
2024-05-30 11:18:00,36.11,48.0,983.38,15.38,23.38,24.77,14.71,20.32,20.56,34.7,54.85,98350.43,14.51,20.6,20.94
2024-05-30 11:20:00,36.11,47.0,983.37,15.29,23.25,24.78,14.32,21.74,22.04,34.58,54.91,98350.56,16.41,22.98,23.42
2024-05-30 11:22:00,36.11,47.0,983.35,15.9,24.76,26.93,14.76,21.87,22.36,34.66,55.44,98348.59,15.27,22.22,23.01
2024-05-30 11:24:00,36.67,47.0,983.4,15.14,23.4,24.93,14.51,21.39,21.68,34.87,55.11,98348.54,15.65,22.76,23.69
2024-05-30 11:26:00,36.67,47.0,983.33,15.68,24.55,26.7,14.83,21.6,21.71,34.98,54.85,98347.65,15.96,23.08,23.88
2024-05-30 11:28:00,36.67,47.0,983.35,15.88,24.68,25.9,14.57,20.82,21.05,35.11,54.96,98348.82,15.5,23.55,24.75
2024-05-30 11:30:00,36.67,46.0,983.34,17.56,26.71,27.59,15.43,23.2,23.41,35.18,54.79,98348.44,15.27,23.03,23.92
2024-05-30 11:32:00,36.67,46.0,983.33,17.95,29.48,31.11,17.45,25.88,26.98,35.23,54.6,98348.97,16.22,24.62,25.11
2024-05-30 11:34:00,37.22,46.0,983.26,17.61,25.92,27.69,16.8,25.24,26.09,35.26,54.71,98349.28,17.9,26.12,26.55
2024-05-30 11:36:00,37.22,45.0,983.25,16.12,24.16,26.04,15.57,23.0,23.6,35.32,54.75,98347.91,18.74,28.31,28.85
2024-05-30 11:38:00,37.22,45.0,983.24,16.53,25.58,27.65,15.09,22.34,22.78,35.38,54.49,98344.0,16.61,25.24,26.21
2024-05-30 11:40:00,37.22,45.0,983.27,16.05,25.05,27.09,14.95,22.61,23.39,35.5,54.24,98342.44,15.0,22.18,23.11
2024-05-30 11:42:00,37.22,45.0,983.24,15.31,23.51,25.05,14.96,23.4,24.09,35.6,53.7,98341.87,14.82,22.58,23.43
2024-05-30 11:44:00,37.22,45.0,983.28,15.33,23.81,25.23,14.24,20.84,21.14,35.61,53.43,98343.81,16.04,24.27,25.09
2024-05-30 11:46:00,37.22,45.0,983.23,15.44,22.62,23.22,14.52,20.22,20.66,35.68,53.73,98344.46,15.79,23.56,25.2
2024-05-30 11:48:00,37.22,45.0,983.23,16.1,22.59,23.5,14.65,21.98,22.21,35.75,53.79,98344.81,15.79,22.65,23.75
2024-05-30 11:50:00,37.22,45.0,983.17,16.98,24.78,26.23,15.51,22.56,22.93,35.71,53.83,98343.45,15.72,22.34,23.21
2024-05-30 11:52:00,37.22,45.0,983.18,15.07,23.15,24.63,14.76,22.1,22.22,35.69,54.28,98341.63,15.94,24.85,25.59
2024-05-30 11:54:00,37.22,45.0,983.17,15.47,23.97,24.62,15.31,22.22,22.51,35.59,54.05,98336.7,16.43,24.76,25.39
2024-05-30 11:56:00,37.22,45.0,983.24,18.21,28.47,30.56,16.34,24.32,24.91,35.57,54.12,98335.55,15.72,22.84,23.79
2024-05-30 11:58:00,37.22,45.0,983.23,17.88,26.68,28.54,16.79,25.47,25.89,35.51,54.11,98338.32,16.64,25.24,26.88
2024-05-30 12:00:00,37.22,45.0,983.16,17.92,26.61,28.25,16.33,24.76,25.05,35.49,54.23,98340.4,18.02,26.3,26.74
2024-05-30 12:02:00,37.22,45.0,983.11,16.47,24.23,25.45,16.29,23.22,24.0,35.47,54.28,98340.73,17.3,26.25,26.89
2024-05-30 12:04:00,37.22,45.0,983.07,17.54,27.54,29.39,16.19,24.19,24.29,35.39,53.94,98335.1,16.78,24.46,25.35
2024-05-30 12:06:00,36.67,45.0,983.02,18.23,26.59,28.3,16.09,23.02,23.3,35.17,53.82,98328.99,18.52,26.11,27.28
2024-05-30 12:08:00,36.67,45.0,982.96,17.2,26.2,27.95,15.96,24.42,24.67,35.03,53.94,98321.24,18.86,26.57,27.38
2024-05-30 12:10:00,36.67,46.0,982.99,15.64,23.92,25.27,15.12,22.18,22.64,35.01,54.28,98316.2,17.62,25.4,26.59
2024-05-30 12:12:00,36.67,46.0,982.98,17.74,25.02,26.35,14.54,21.93,22.85,35.01,54.66,98316.07,16.5,23.24,24.22
2024-05-30 12:14:00,36.67,46.0,982.9,17.78,25.9,27.1,15.51,23.24,23.87,35.0,55.29,98315.65,16.61,23.52,23.89
2024-05-30 12:16:00,36.67,46.0,982.82,17.71,26.0,26.68,16.12,23.79,24.48,35.07,55.1,98311.87,16.61,24.88,25.49
2024-05-30 12:18:00,36.67,46.0,982.79,18.91,27.57,28.31,16.33,24.0,24.58,35.21,54.95,98306.46,17.11,24.84,25.72
2024-05-30 12:20:00,36.67,46.0,982.77,18.34,27.81,29.61,17.42,25.65,26.25,35.29,54.5,98303.14,17.94,26.25,26.79
2024-05-30 12:22:00,37.22,46.0,982.76,18.81,28.25,30.34,16.45,24.02,24.77,35.36,54.51,98303.66,18.38,26.22,26.84
